File_ID,Group_ID,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5
img_1834.png,O,0,0,0,0,0
img_1835.png,O,0,0,0,0,0
img_1836.png,O,0,0,0,0,0
img_1837.png,O,0,1,1,0,1
img_1838.png,O,1,1,1,1,1
img_1839.png,O,2,2,1,1,2
img_1840.png,O,2,2,1,1,2
img_1841.png,O,0,0,0,0,0
img_1842.png,O,1,1,1,1,2
img_1843.png,O,0,0,0,0,0
img_1844.png,O,0,0,0,0,0
img_1845.png,O,0,0,0,0,0
img_1846.png,O,2,2,2,2,2
img_1847.png,O,1,1,1,2,2
img_1848.png,O,0,0,0,0,1
img_1849.png,O,1,1,1,1,1
img_1850.png,O,2,1,1,1,2
img_1851.png,O,1,1,1,1,1
img_1852.png,O,0,0,0,0,0
img_1853.png,O,0,0,0,0,0
img_1854.png,O,1,0,1,1,1
img_1855.png,O,1,1,1,1,1
img_1856.png,O,2,2,1,1,2
img_1857.png,O,0,0,0,0,0
img_1858.png,O,2,2,2,2,2
img_1859.png,O,1,1,1,1,1
img_1860.png,O,0,0,1,0,0
img_1861.png,O,2,2,1,1,2
img_1862.png,O,0,0,0,0,0
img_1863.png,O,0,0,0,0,0
img_1864.png,O,0,0,0,0,0
img_1865.png,O,2,2,1,1,2
img_1866.png,O,0,0,0,0,0
img_1867.png,O,0,0,0,0,1
img_1868.png,O,0,0,0,0,0
img_1869.png,O,2,2,2,2,2
img_1870.png,O,1,1,1,1,2
img_1871.png,O,1,1,1,1,2
img_1872.png,O,2,2,1,2,2
img_1873.png,O,2,2,0,2,2
img_1874.png,O,0,0,0,0,0
img_1875.png,O,1,1,1,1,1
img_1876.png,O,0,0,0,0,0
img_1877.png,O,1,1,0,1,1
img_1878.png,O,2,2,2,2,2
img_1879.png,O,2,2,1,1,2
img_1880.png,O,1,1,1,1,1
img_1881.png,O,1,1,1,1,1
img_1882.png,O,0,0,0,0,0
img_1883.png,O,2,2,1,2,2
img_1884.png,O,1,1,1,1,1
img_1885.png,O,2,2,2,2,2
img_1886.png,O,2,1,1,1,2
img_1887.png,O,0,0,0,0,0
img_1888.png,O,1,1,1,1,1
img_1889.png,O,1,1,1,1,2
img_1890.png,O,2,2,2,2,2
img_1891.png,O,0,0,0,1,1
img_1892.png,O,1,1,1,1,1
img_1893.png,O,2,2,1,2,1
img_1894.png,O,0,0,0,0,0
img_1895.png,O,2,2,1,1,2
img_1896.png,O,0,0,0,0,0
img_1897.png,O,1,1,1,1,1
img_1898.png,O,1,1,0,1,1
img_1899.png,O,2,2,2,2,2
img_1900.png,O,0,0,0,0,0
img_1901.png,O,0,0,0,0,0
img_1902.png,O,0,0,0,0,0
img_1903.png,O,2,1,1,1,2
img_1904.png,O,2,2,2,2,2
img_1905.png,O,2,1,1,1,2
img_1906.png,O,1,1,1,1,1
img_1907.png,O,2,1,1,2,2
img_1908.png,O,0,0,0,0,0
img_1909.png,O,1,0,0,1,1
img_1910.png,O,2,2,1,2,2
img_1911.png,O,2,2,1,1,2
img_1912.png,O,0,0,0,0,0
img_1913.png,O,1,1,1,1,1
img_1914.png,O,0,0,0,1,0
img_1915.png,O,0,0,0,0,0
img_1916.png,O,0,0,0,0,0
img_1917.png,O,1,1,1,1,1
img_1918.png,O,2,2,1,1,2
img_1919.png,O,0,0,0,0,0
img_1920.png,O,2,1,1,1,1
img_1921.png,O,2,2,1,2,2
img_1922.png,O,0,0,0,0,0
img_1923.png,O,2,1,1,1,2
img_1924.png,O,2,2,2,2,2
img_1925.png,O,2,2,2,2,2
img_1926.png,O,0,0,0,0,0
img_1927.png,O,0,0,0,0,0
img_1928.png,O,0,0,0,0,0
img_1929.png,O,1,1,0,1,1
img_1930.png,O,0,0,0,0,0
img_1931.png,O,0,0,0,0,0
img_1932.png,O,1,1,1,1,1
img_1933.png,O,1,1,1,1,1
img_1934.png,O,0,0,0,0,0
